source,binarize,gt,lt,vol,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
G,True,0,10.0,0,86,2,5,5,10,0.001,L2,0.0001,1.85,0.78,0.74,-0.0366587979921,-0.0302771464646,9.0,0.74
G,True,0,10.0,0,86,2,10,10,10,0.001,L2,0.1,1.81,0.16,0.37,-0.012013702347,0.017190656565700003,3.0,0.29
G,True,0,10.0,0,86,2,100,100,10,0.0001,L1,0.0001,3.77,0.28,0.28,-0.0107401980735,-0.00177398989899,9.0,0.28
G,True,0,10.0,0,86,2,10,10,10,0.1,L2,0.001,1.79,0.27,0.27,0.0048434405101099995,0.000146464646465,6.0,0.27
G,True,0,10.0,0,86,2,100,100,10,0.1,L2,0.001,3.13,0.17,0.27,0.00508601275268,-0.000364267676768,9.0,0.27
G,True,0,10.0,0,86,2,50,50,10,1.0,L2,0.0001,2.25,0.26,0.32,-0.009617962284629999,-0.003909722222219999,9.0,0.32
G,True,0,10.0,0,86,2,15,15,10,0.001,L1,0.1,1.81,0.23,0.28,-0.004964997965,0.00854987373737,2.0,0.26
G,True,0,10.0,0,86,2,15,15,10,0.01,L1,0.001,1.88,0.22,0.27,-0.0018195631529,-0.000199494949495,9.0,0.27
G,True,0,10.0,0,86,2,1,1,10,0.0001,L1,0.0001,1.58,0.48,0.48,-0.00689716456383,-0.00710669191919,9.0,0.48
G,True,0,10.0,0,86,2,10,10,10,1.0,L2,0.001,1.8,0.26,0.3,-0.0023824447157800004,-0.00342866161616,9.0,0.3
Q,True,0,10.0,0,10,2,50,50,10,0.1,L1,0.0001,149.12,0.34,0.34,-0.00100104723708,-0.00035911166567,9.0,0.34
G,True,0,10.0,0,86,2,50,50,10,0.001,L2,0.1,2.29,0.11,0.39,-0.00842884276218,0.0181792929293,2.0,0.26
G,True,0,10.0,0,86,2,50,50,10,0.001,L2,0.1,2.14,0.11,0.33,-0.006762583095919999,0.0107518939394,6.0,0.31
G,True,0,10.0,0,86,2,1,1,10,0.0001,L2,0.01,1.67,0.2,0.27,9.46954280288e-05,-0.00075,9.0,0.27
G,True,0,10.0,0,86,2,5,5,10,0.0001,L2,0.01,1.72,0.16,0.28,-0.00642300908968,0.00264204545455,5.0,0.27
G,True,0,10.0,0,86,2,2,2,10,0.01,L2,0.001,1.72,0.19,0.27,-0.00651227784561,-0.0004438131313130001,9.0,0.27
G,True,0,10.0,0,86,2,15,15,10,0.1,L2,0.001,1.86,0.16,0.27,-0.010288834622200002,5.2398989899e-05,8.0,0.27
G,True,0,10.0,0,86,2,50,50,10,0.1,L1,0.01,2.42,0.17,0.28,-0.00337593270927,0.0008832070707069998,4.0,0.27
G,True,0,10.0,0,86,2,100,100,10,0.1,L1,0.01,3.72,0.29,0.27,0.00253072853073,-0.00017297979798,9.0,0.27
G,True,0,10.0,0,86,2,1,1,10,0.0001,L2,0.1,1.57,0.17,0.3,-0.00846018179352,0.0069924242424199996,2.0,0.28
G,True,0,10.0,0,86,2,1,1,10,0.001,L1,0.1,1.58,0.17,0.27,-0.00127241893909,0.00217234848485,1.0,0.26
G,True,0,10.0,0,86,2,1,1,10,0.0001,L2,0.001,1.53,0.23,0.3,-0.0144342694343,-0.00382323232323,9.0,0.3
G,True,0,10.0,0,86,2,1,1,10,1.0,L1,0.0001,1.5,0.53,0.53,-0.00407163207163,-0.004628156565659999,9.0,0.53
G,True,0,10.0,0,86,2,5,5,10,1.0,L2,0.001,1.68,0.34,0.32,-0.005738977072310001,-0.005044191919189999,9.0,0.32
G,True,0,10.0,0,86,2,15,15,10,0.0001,L2,0.0001,1.79,0.42,0.42,-0.019061864061900004,-0.0141679292929,9.0,0.42
G,True,0,10.0,0,86,2,100,100,10,1.0,L2,0.0001,2.91,0.22,0.28,0.00243074209741,9.78535353535e-05,8.0,0.28
G,True,0,10.0,0,86,2,100,100,10,1.0,L2,0.001,2.9,0.21,0.27,-0.000422195088862,-0.00024494949495,9.0,0.27
G,True,0,10.0,0,86,2,1,1,10,0.1,L2,0.01,1.54,0.16,0.28,-0.00383679283679,0.0008819444444439998,1.0,0.27
G,True,0,10.0,0,86,2,15,15,10,1.0,L1,0.0001,1.8,0.51,0.51,-0.0017188983855699995,-0.000644570707071,5.0,0.5
G,True,0,10.0,0,86,2,5,5,10,0.1,L2,0.0001,1.75,0.93,0.86,-0.0460598290598,-0.040215909090900004,9.0,0.86
Q,True,0,10.0,0,10,2,5,5,10,1.0,L2,0.001,118.25,0.34,0.33,-0.000282345513963,-0.0004609165821830001,9.0,0.33
G,True,0,10.0,0,86,2,5,5,10,0.0001,L2,0.0001,1.66,0.61,0.59,-0.0223144756478,-0.0185542929293,9.0,0.59
G,True,0,10.0,0,86,2,50,50,10,0.01,L2,0.01,2.16,0.21,0.28,-8.96757563424e-05,0.000368055555556,3.0,0.27
G,True,0,10.0,0,86,2,2,2,10,0.001,L2,0.01,1.61,0.14,0.29,0.0007270383937050001,0.000133207070707,-inf,inf
G,True,0,10.0,0,86,2,5,5,10,0.0001,L1,0.001,1.66,0.2,0.27,-0.004516483516479999,-0.00011426767676799998,9.0,0.27
G,True,0,10.0,0,86,2,1,1,10,0.01,L1,0.1,1.59,0.13,0.3,-0.0059941663275,0.0026761363636399996,2.0,0.27
G,True,0,10.0,0,86,2,2,2,10,0.01,L2,0.0001,1.72,0.48,0.48,-0.0138145434812,-0.00992171717172,9.0,0.48
G,True,0,10.0,0,86,2,2,2,10,0.001,L1,0.1,1.69,0.14,0.29,-0.00748514448514,0.0032828282828299997,1.0,0.26
G,True,0,10.0,0,86,2,50,50,10,0.1,L2,0.0001,2.36,0.32,0.29,0.0007990774657439999,-0.00302904040404,9.0,0.29
G,True,0,10.0,0,86,2,5,5,10,1.0,L2,0.1,1.8,0.16,0.29,-0.0036307149640500006,0.00117234848485,6.0,0.28
G,True,0,10.0,0,86,2,2,2,10,0.1,L1,0.001,1.68,0.26,0.29,-0.0053725410392100005,-0.00302335858586,9.0,0.29
G,True,0,10.0,0,86,2,100,100,10,0.001,L1,0.01,3.91,0.22,0.26,-0.00285863519197,-0.0012108585858599998,9.0,0.26
G,True,0,10.0,0,86,2,50,50,10,0.001,L1,0.01,2.54,0.2,0.27,-0.00044010310677,-0.00090404040404,9.0,0.27
G,True,0,10.0,0,86,2,2,2,10,0.01,L2,0.1,1.72,0.2,0.27,0.0006856600189929999,-0.000261363636364,5.0,0.26
G,True,0,10.0,0,86,2,15,15,10,0.1,L2,0.1,1.78,0.19,0.29,0.00208506308506,-0.00258712121212,9.0,0.29
G,True,0,10.0,0,86,2,1,1,10,0.1,L2,0.1,1.59,0.17,0.28,-0.00170397503731,0.0011969696969700001,5.0,0.27
G,True,0,10.0,0,86,2,100,100,10,0.0001,L2,0.01,3.24,0.2,0.28,0.00035612535612500004,-0.00032196969697,9.0,0.28
G,True,0,10.0,0,86,2,15,15,500,0.0001,L1,0.01,144.84,0.01,0.66,-2.0072770694000006e-05,-0.000145130260521,12.0,0.27
Q,True,0,10.0,0,10,2,100,100,10,0.01,L1,0.0001,211.58,0.34,0.33,-0.00023322006833000004,-0.000471444539759,9.0,0.33
Q,True,0,10.0,0,10,2,1,1,10,0.001,L1,0.01,107.26,0.33,0.32,-0.00041963569518699994,-0.00015500792846200002,9.0,0.32
G,True,0,10.0,0,86,2,15,15,500,0.1,L2,0.001,142.87,0.01,0.4,-2.8641899183e-05,0.000150839406085,19.0,0.27
Q,True,0,10.0,0,10,2,15,15,10,0.0001,L2,0.01,121.68,0.32,0.32,-0.00045111036839,-0.000225592901644,9.0,0.32
G,True,0,10.0,0,86,2,1,1,500,1.0,L1,0.001,128.18,0.02,0.42,-3.56942456341e-05,0.00014719962652599998,37.0,0.28
Q,True,0,10.0,0,10,2,50,50,10,1.0,L2,0.1,137.95,0.34,0.33,-8.61705288175e-05,-0.000331366381589,9.0,0.33
G,True,0,10.0,0,86,2,10,10,500,0.001,L2,0.001,138.68,0.03,0.44,-6.07040209846e-05,0.000127866870104,9.0,0.28
Q,True,0,10.0,0,10,2,50,50,10,0.01,L1,0.01,142.08,0.33,0.33,-0.000479838829471,-8.11389257151e-05,9.0,0.33
G,True,0,10.0,0,86,2,50,50,500,0.0001,L1,0.001,170.68,0.02,0.51,-3.34584676068e-05,0.000243429586446,41.0,0.29
Q,True,0,10.0,0,10,2,10,10,10,0.1,L1,0.0001,112.12,0.33,0.33,-0.00108262217766,-0.000536068002807,9.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.01,L1,0.0001,130.43,0.16,0.3,-0.000276851333925,4.45404445254e-05,386.0,0.3
Q,True,0,10.0,0,10,2,5,5,10,1.0,L1,0.001,115.77,0.34,0.33,0.000629933526441,0.000328177666866,8.0,0.33
G,True,0,10.0,0,86,2,15,15,500,0.0001,L2,0.0001,148.29,0.06,0.36,-0.000118777726393,0.00015634928948800002,114.0,0.28
Q,True,0,10.0,0,10,2,15,15,10,0.1,L1,0.001,121.39,0.35,0.33,0.00032850007427199997,0.00029322311471599995,7.0,0.33
G,True,0,10.0,0,86,2,15,15,500,0.1,L1,0.001,146.29,0.54,0.42,0.000175136500106,-5.54427035887e-06,105.0,0.27
G,True,0,10.0,0,86,2,15,15,500,0.01,L2,0.0001,150.72,0.23,0.31,-0.00043446472921399997,0.00010148979777700001,310.0,0.29
G,True,0,10.0,0,86,2,2,2,500,0.01,L2,0.01,138.06,0.01,0.56,-2.297615989e-05,0.0001925,19.0,0.27
G,True,0,10.0,0,86,2,50,50,500,0.001,L2,0.0001,161.69,0.05,0.36,-0.00010827682226499999,0.000210810940062,166.0,0.27
G,True,0,10.0,0,86,2,15,15,500,0.1,L2,0.0001,142.14,0.05,0.29,-5.09841171965e-05,4.12707232648e-05,207.0,0.28
G,True,0,10.0,0,86,2,15,15,500,1.0,L2,0.1,140.98,0.06,0.59,-0.00012884616608099998,0.00043573100747000017,89.0,0.27
G,True,0,10.0,0,86,2,15,15,500,0.1,L1,0.1,149.95,0.0,0.75,-7.23669561345e-06,0.000176015667699,6.0,0.28
G,True,0,10.0,0,86,2,10,10,500,0.1,L2,0.1,157.82,0.01,0.73,-1.51492239669e-05,0.000195675441793,9.0,0.28
G,True,0,10.0,0,86,2,10,10,500,0.001,L1,0.0001,155.93,0.04,0.35,-8.58109870535e-05,0.000118480597559,110.0,0.29
G,True,0,10.0,0,86,2,5,5,500,1.0,L1,0.0001,150.91,0.11,0.3,-0.00020953002463999998,3.91583166333e-05,337.0,0.3
G,True,0,10.0,0,86,2,1,1,500,1.0,L1,0.001,139.89,0.46,0.33,-3.22888022687e-05,-6.08728821279e-05,179.0,0.27
G,True,0,10.0,0,86,2,1,1,500,1.0,L1,0.1,131.51,0.04,0.64,-7.746119834299999e-05,0.000349782291856,2.0,0.26
Q,True,0,10.0,0,10,2,100,100,10,0.001,L1,0.0001,89.61,0.69,0.69,-0.00022094709572,-0.000153456114987,9.0,0.69
G,True,0,10.0,0,86,2,15,15,500,0.01,L1,0.001,148.72,0.03,0.37,-6.28557725953e-05,0.00018678903261099998,19.0,0.26
Q,True,0,10.0,0,10,2,5,5,10,0.001,L1,0.01,48.4,0.67,0.67,-0.000666114411174,0.000321620885453,8.0,0.67
Q,True,0,10.0,0,10,2,5,5,10,1.0,L2,0.001,50.08,0.69,0.69,-3.28479770836e-05,0.000108701573533,8.0,0.69
G,True,0,10.0,0,86,2,2,2,500,1.0,L1,0.001,136.81,0.01,0.42,-2.89477122744e-05,0.000142459464383,30.0,0.29
Q,True,0,10.0,0,10,2,100,100,10,1.0,L1,0.0001,91.6,0.69,0.69,-3.08769188634e-05,0.000226559389863,7.0,0.69
Q,True,0,10.0,0,10,2,10,10,10,0.01,L2,0.0001,49.39,0.69,0.69,7.7948842284e-05,7.09661198064e-05,-inf,inf
Q,True,0,10.0,0,10,2,10,10,10,1.0,L2,0.0001,49.41,0.69,0.69,-0.00010819717766,0.00023908898527,7.0,0.69
Q,True,0,10.0,0,10,2,10,10,10,1.0,L1,0.0001,47.9,0.69,0.69,-5.7362733081e-05,-0.000390093657678,9.0,0.69
G,True,0,10.0,0,86,2,100,100,500,0.0001,L2,0.001,204.69,0.04,0.73,-7.90300503327e-05,0.000123473765713,15.0,0.27
Q,True,0,10.0,0,10,2,100,100,10,0.0001,L1,0.1,80.67,0.69,0.69,-0.0011235121653399998,-0.00268774488235,9.0,0.69
Q,True,0,10.0,0,10,2,10,10,10,0.001,L1,0.1,49.14,0.68,0.68,-0.000767195125784,-0.00174276614914,9.0,0.68
G,True,0,10.0,0,86,2,10,10,500,0.1,L2,0.001,142.91,0.02,0.41,-3.82722955068e-05,0.00015594507196200002,29.0,0.27
Q,True,0,10.0,0,10,2,50,50,10,0.001,L1,0.1,61.13,0.71,0.7,-0.00036245470831500003,-0.0009019003918119999,3.0,0.69
G,True,0,10.0,0,86,2,15,15,500,1.0,L2,0.01,147.06,0.02,0.55,-4.78386320871e-05,0.000210155766078,47.0,0.27
G,True,0,10.0,0,86,2,15,15,500,0.01,L1,0.0001,144.86,0.05,0.31,-8.40007732192e-05,4.08589907087e-05,52.0,0.27
G,True,0,10.0,0,86,2,2,2,500,1.0,L1,0.0001,134.03,0.36,0.3,0.000233414668164,-7.57089178356e-05,499.0,0.3
G,True,0,10.0,0,86,2,5,5,500,1.0,L2,0.0001,139.84,0.07,0.3,-0.00011155375464,5.2234696666e-05,245.0,0.29
G,True,0,10.0,0,86,2,10,10,500,0.01,L2,0.01,143.65,0.23,0.31,-0.0003524048340880001,9.14547276372e-05,17.0,0.26
G,True,0,10.0,0,86,2,10,10,500,0.001,L2,0.0001,142.08,0.19,0.61,-0.000300396446128,0.0013636844142799998,184.0,0.27
G,True,0,10.0,0,86,2,100,100,500,0.001,L2,0.01,200.67,0.02,1.29,-2.85061943178e-05,-7.37383858627e-05,10.0,0.28
G,True,0,10.0,0,86,2,15,15,500,0.1,L2,0.01,145.66,0.01,0.57,-1.49151538731e-05,0.00017881467480400002,3.0,0.27
G,True,0,10.0,0,86,2,50,50,500,0.01,L2,0.1,169.96,0.02,0.69,-3.19598904769e-05,0.000268686236108,28.0,0.29
G,True,0,10.0,0,86,2,2,2,500,0.1,L2,0.1,141.58,0.01,0.7,-2.0568609747e-05,0.00024830866278,2.0,0.29
G,True,0,10.0,0,86,2,100,100,500,0.0001,L2,0.01,206.48,0.0,0.71,-8.60142751926e-06,2.86844142832e-05,2.0,0.29
G,True,0,10.0,0,86,2,1,1,500,0.001,L2,0.0001,134.38,0.21,0.31,-0.00038015865675199997,3.39239843323e-05,410.0,0.3
G,True,0,10.0,0,86,2,2,2,500,0.01,L2,0.0001,138.21,0.07,0.33,-0.000112410853453,4.1610949170999986e-05,344.0,0.32
G,True,0,10.0,0,86,2,10,10,500,0.0001,L1,0.001,136.62,0.02,0.43,-4.60459380299e-05,0.000200296274367,73.0,0.27
G,True,0,10.0,0,86,2,2,2,500,0.001,L1,0.001,135.96,0.07,0.31,-0.000144297679608,7.89144197486e-05,32.0,0.27
G,True,0,10.0,0,86,2,5,5,500,0.1,L2,0.001,143.81,0.06,0.38,-0.000128688830653,0.000186254326835,104.0,0.27
G,True,0,10.0,0,86,2,2,2,500,0.0001,L2,0.1,143.7,0.0,0.63,-9.94198409028e-06,0.000116012024048,4.0,0.28
G,True,0,10.0,0,86,2,10,10,500,0.001,L2,0.0001,147.14,0.03,0.37,-5.01257949354e-05,0.00010356144106399999,69.0,0.3
G,True,0,10.0,0,86,2,2,2,500,0.001,L1,0.0001,140.23,0.07,0.32,-0.000113936199628,6.93482419384e-05,249.0,0.31
G,True,0,10.0,0,29,2,50,50,20,0.01,L1,0.1,4.2,0.19,0.29,-0.00668600989654,0.00229694976077,15.0,0.29
G,True,0,10.0,0,29,2,2,2,20,0.1,L2,0.001,3.25,0.28,0.28,0.00329590000643,-0.000179276315789,19.0,0.28
G,True,0,10.0,0,29,2,10,10,20,0.0001,L1,0.0001,3.2,0.18,0.3,-0.0042812479917700005,-0.00150777511962,19.0,0.3
G,True,0,10.0,0,29,2,2,2,20,1.0,L2,0.01,3.2,0.21,0.27,-0.00345498361288,0.000542613636364,8.0,0.26
G,True,0,10.0,0,29,2,2,2,20,0.01,L2,0.1,3.19,0.12,0.3,-0.00027932009511,-0.00010032894736799999,2.0,0.28
G,True,0,10.0,0,29,2,2,2,20,1.0,L1,0.001,3.11,0.32,0.29,-0.000769552085342,-0.0015195873205699998,19.0,0.29
G,True,0,10.0,0,29,2,5,5,20,0.001,L2,0.001,3.27,0.25,0.26,-0.0006179872758819999,-0.000279754784689,19.0,0.26
G,True,0,10.0,0,29,2,100,100,20,0.01,L1,0.001,6.12,0.27,0.27,0.00208132510764,0.000287230861244,12.0,0.26
G,True,0,10.0,0,29,2,15,15,20,0.01,L2,0.0001,3.64,0.2,0.27,-0.0042352997879299996,-0.000557266746411,19.0,0.27
G,True,0,10.0,0,29,2,2,2,20,1.0,L1,0.001,3.2,0.21,0.29,-0.0032004048583,-0.00118764952153,19.0,0.29
G,True,0,10.0,0,29,2,2,2,20,1.0,L2,0.01,3.5,0.07,0.32,-0.0033187455819,0.00362320574163,1.0,0.27
G,True,0,10.0,0,29,2,5,5,20,0.1,L2,0.001,3.75,0.26,0.27,-5.69372148319e-05,-6.17523923445e-05,19.0,0.27
G,True,0,10.0,0,29,2,100,100,20,1.0,L1,0.01,6.81,0.2,0.27,-0.00280062335325,0.000809210526316,11.0,0.26
G,True,0,10.0,0,29,2,2,2,20,0.0001,L2,0.001,3.59,0.23,0.29,-0.00114288927447,-0.00117254784689,19.0,0.29
G,True,0,10.0,0,29,2,100,100,20,0.0001,L2,0.1,5.87,0.13,0.48,-0.00492057065741,0.0148446471292,2.0,0.29
G,True,0,10.0,0,29,2,15,15,20,1.0,L2,0.01,3.92,0.22,0.27,-0.00162495983549,0.000177930622009,18.0,0.27
G,True,0,10.0,0,29,2,10,10,20,0.01,L1,0.001,3.5,0.13,0.28,-0.0045968768074,0.000908193779904,8.0,0.27
G,True,0,10.0,0,29,2,15,15,20,0.001,L2,0.0001,3.7,0.34,0.36,-0.006434001670840001,-0.004598534689,19.0,0.36
G,True,0,10.0,0,29,2,100,100,20,0.1,L1,0.0001,6.19,0.26,0.28,-0.00010311033995200004,2.88576555024e-05,16.0,0.28
G,True,0,10.0,0,29,2,5,5,20,0.001,L2,0.1,3.37,0.08,0.35,-0.003218687745,0.005290819377989999,5.0,0.27
G,True,0,10.0,0,29,2,2,2,20,0.001,L1,0.001,3.25,0.23,0.27,0.000761101471628,-0.000160436602871,19.0,0.27
G,True,0,10.0,0,29,2,50,50,20,1.0,L1,0.001,4.28,0.36,0.3,0.00321708116445,-0.00104799641148,19.0,0.3
