source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,1.0,20.0,100,82,False,True,1586,82,2,52,52,20,0.001,L1,0.01,4.45,0.72,0.69,-0.000554286796293,-0.000499613003096,19.0,0.69
GQ,True,0.0,20.0,1000,53,False,True,1688,53,2,19,19,20,0.001,L2,0.01,3.57,0.69,0.69,-0.00391346295263,-0.000739895318406,19.0,0.69
GQ,True,1.0,100.0,0,53,False,True,2649,53,2,39,39,20,0.1,L2,0.01,5.53,0.72,0.69,1.53760157129e-06,-0.000325194588584,7.0,0.68
GQ,True,0.0,50.0,1000,29,False,True,2436,29,2,7,7,20,0.001,L1,0.01,4.24,0.7,0.69,-0.00018020379313799997,8.2677959266e-05,17.0,0.69
GQ,True,0.0,5.0,0,91,False,True,636,91,2,43,43,20,1.0,L2,0.0001,1.36,0.75,0.61,-0.00232371549871,0.00313757739938,1.0,0.54
GQ,True,0.0,50.0,1000,3,False,True,2436,3,2,2,2,20,0.001,L2,0.1,4.64,0.72,0.68,-7.94548019131e-05,0.000161171607179,9.0,0.67
GQ,True,0.0,100.0,100,14,False,True,2751,14,2,13,13,20,0.001,L1,0.0001,4.64,0.72,0.62,-0.00102840497234,0.00299250669045,-inf,inf
GQ,True,2.0,50.0,100,29,False,True,2204,29,2,7,7,20,0.001,L2,0.0001,4.26,0.71,0.67,-0.0007335352584919999,0.0007781556645850001,-inf,inf
GQ,True,1.0,5.0,0,9,False,True,534,9,2,1,1,20,0.001,L1,0.001,1.14,0.7,0.74,-0.000285476972468,-0.0022622345337,19.0,0.74
GQ,True,2.0,5.0,0,26,False,True,403,26,2,8,8,20,1.0,L2,0.001,0.81,0.69,0.69,-1.17900875019e-06,-0.00019086509376900002,19.0,0.69
GQ,True,0.0,10.0,0,66,False,True,1218,66,2,60,60,20,1.0,L1,0.001,3.38,0.7,0.69,-3.59435284372e-05,-0.000330308529946,1.0,0.68
GQ,True,1.0,50.0,0,43,False,True,2334,43,2,13,13,20,0.1,L2,0.01,4.56,0.7,0.69,-6.38224361397e-05,-0.000266789473684,19.0,0.69
GQ,True,2.0,100.0,0,87,False,True,2519,87,2,73,73,20,0.01,L1,0.001,6.47,0.69,0.69,0.000117644392796,1.21832358674e-05,17.0,0.69
GQ,True,2.0,20.0,100,33,False,True,1456,33,2,26,26,20,0.01,L1,0.0001,2.94,0.72,0.63,-0.000988413854492,0.00283392375169,-inf,inf
GQ,True,1.0,100.0,0,13,False,True,2649,13,2,4,4,20,1.0,L1,0.1,4.88,0.73,0.68,-1.55517528413e-05,-0.000546052631579,9.0,0.67
GQ,True,0.0,50.0,1000,4,False,True,2436,4,2,1,1,20,0.01,L2,0.001,4.18,0.69,0.7,-5.1104778983e-05,-0.000330560596895,19.0,0.7
GQ,True,2.0,5.0,0,88,False,True,403,88,2,85,85,20,0.0001,L1,0.01,1.39,0.62,0.71,-0.012643870524,0.00031004234724699994,16.0,0.71
GQ,True,1.0,20.0,1000,70,False,True,1586,70,2,32,32,20,0.001,L2,0.01,3.26,0.69,0.68,-0.0017945949634800005,0.00203320433437,18.0,0.68
