source,binarize,gt,lt,vol,balance_labeled_data,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,0,10.0,0,False,755,3,2,3,3,100,0.001,L2,0.1,18.05,0.5,0.51,0.000784377550338,-4.16635490709e-05,1,0.5
GQ,True,0,10.0,0,False,755,3,2,2,2,100,1.0,L1,0.0001,16.88,0.58,0.53,0.0011231252926600002,-1.33121336825e-05,99,0.53
GQ,True,0,10.0,0,False,755,3,2,2,2,100,0.01,L2,0.001,17.17,0.52,0.5,-0.00145363703258,9.97505923432e-05,92,0.5
GQ,True,0,10.0,0,False,755,3,2,1,1,100,0.1,L1,0.1,16.4,0.36,0.56,-0.00129717305505,7.43484224964e-05,9,0.5
GQ,True,0,10.0,0,False,755,3,2,3,3,100,0.001,L2,0.001,17.33,0.65,0.62,0.00036299819385900004,0.0012083925676500001,20,0.51
GQ,True,0,10.0,0,False,755,3,2,3,3,100,0.001,L1,0.001,18.1,0.59,0.55,0.000995733493879,0.00114964459409,48,0.5
GQ,True,0,10.0,0,False,755,3,2,2,2,100,0.01,L1,0.001,17.28,0.63,0.57,0.0004864673222290001,0.0004583302157380001,20,0.51
GQ,True,0,10.0,0,False,755,3,2,3,3,100,0.001,L2,0.001,18.25,0.6,0.58,0.00015539500969999998,4.37772789624e-05,25,0.5
GQ,True,0,10.0,0,False,755,3,2,2,2,100,0.01,L2,0.0001,18.16,0.57,0.51,0.000796306107432,0.000202201022571,63,0.51
GQ,True,0,10.0,0,False,755,3,2,1,1,100,1.0,L2,0.001,18.87,0.24,0.61,-0.00205836243227,0.00197715425864,28,0.51
GQ,True,0,50.0,0,False,1293,3,2,5,5,100,0.01,L1,0.1,29.81,0.44,0.39,-0.00042823439343199997,-0.00013490136017200001,99,0.39
GQ,True,0,50.0,0,False,1293,3,2,4,4,100,0.001,L2,0.001,31.32,0.45,0.4,-0.0016516213957,0.000168796265908,34,0.39
GQ,True,0,50.0,0,False,1293,3,2,3,3,100,0.01,L1,0.01,30.34,0.38,0.38,0.00016403477934799998,4.55238303613e-05,98,0.38
GQ,True,0,50.0,0,False,1293,3,2,5,5,100,0.001,L1,0.01,29.53,0.38,0.45,-0.00125528760146,0.00181826204281,31,0.38
GQ,True,0,50.0,0,False,1293,3,2,3,3,100,0.1,L1,0.01,30.23,0.37,0.38,1.194934652e-05,-2.72362615323e-05,99,0.38
GQ,True,0,50.0,0,False,1293,3,2,5,5,100,0.001,L1,0.01,30.14,0.47,0.4,-0.0005455678205100001,-7.24647193961e-05,36,0.38
GQ,True,0,50.0,0,False,1293,3,2,6,6,100,1.0,L2,0.001,31.01,0.38,0.38,6.98008702649e-05,-3.12766655727e-05,99,0.38
GQ,True,0,50.0,0,False,1293,3,2,6,6,100,0.01,L1,0.01,29.58,0.6,0.47,0.000831899036771,0.00109344710644,6,0.4
GQ,True,0,50.0,0,False,1293,3,2,1,1,100,1.0,L1,0.1,28.64,0.48,0.4,-0.000501863179357,-0.000157710680815,57,0.39
GQ,True,0,50.0,0,False,1293,3,2,5,5,100,0.01,L2,0.001,30.9,0.47,0.39,0.000764411321256,0.000188870656019,76,0.39
