source,binarize,gt,lt,vol,k,double_positive_labels,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,1.0,50.0,1000,94,True,True,True,44,94,2,10,10,100,0.1,L2,0.1,2.11,0.05,4.4,-0.000493526170799,0.0110215488215,4.0,0.86
GQ,True,2.0,100.0,100,83,True,False,True,24,83,2,76,76,100,1.0,L2,0.01,1.87,0.38,1.24,-0.00326578282828,0.00727441077441,16.0,0.66
GQ,True,1.0,20.0,0,43,False,True,True,3,43,2,35,35,100,0.0001,L1,0.01,1.11,0.09,,-0.000832996632997,,-inf,inf
GQ,True,2.0,100.0,1000,41,True,False,True,24,41,2,35,35,100,0.001,L2,0.1,1.57,0.03,0.22,-0.000335942760943,0.005548148148149999,41.0,0.05
GQ,True,0.0,100.0,0,27,True,True,True,48,27,2,24,24,100,0.0001,L1,0.001,2.12,0.17,1.01,-0.0015344696969699998,0.00365218855219,17.0,0.66
GQ,True,0.0,100.0,1000,62,False,False,True,24,62,2,21,21,100,0.001,L2,0.0001,1.5,0.62,0.55,-0.00277441077441,-0.00250740740741,99.0,0.55
GQ,True,0.0,50.0,0,93,True,False,True,46,93,2,83,83,100,1.0,L2,0.0001,2.6,0.29,0.97,-0.00172540623628,0.00200589225589,10.0,0.73
GQ,True,2.0,5.0,1000,69,True,True,True,16,69,2,65,65,100,0.1,L1,0.1,1.41,0.08,2.26,-0.00084172979798,0.00587222222222,4.0,1.03
GQ,True,1.0,100.0,100,69,True,False,True,44,69,2,47,47,100,0.0001,L2,0.01,2.11,0.14,0.34,-0.00143537649219,-0.000522828282828,99.0,0.34
GQ,True,2.0,5.0,0,82,True,True,True,16,82,2,79,79,100,0.0001,L2,0.0001,1.4,0.54,0.81,-0.00357941919192,0.00236111111111,35.0,0.7
GQ,True,1.0,50.0,1000,42,True,False,True,44,42,2,4,4,100,0.0001,L1,0.001,1.83,0.42,0.67,-0.00330270890725,0.00163515151515,61.0,0.63
GQ,True,1.0,100.0,0,31,False,True,True,3,31,2,26,26,100,0.01,L2,0.001,1.06,0.34,,-0.0015902356902399999,,-inf,inf
GQ,True,2.0,10.0,0,79,False,False,True,11,79,2,17,17,100,0.0001,L2,0.1,1.15,0.06,2.06,-0.0006387511478419999,0.00846363636364,2.0,0.68
GQ,True,2.0,20.0,1000,54,True,True,True,25,54,2,34,34,100,0.1,L2,0.0001,1.63,0.23,1.31,-0.00102012121212,0.00170707070707,16.0,1.18
GQ,True,1.0,5.0,1000,63,False,True,True,3,63,2,19,19,100,0.0001,L1,0.01,1.01,0.09,,-0.000673063973064,,-inf,inf
GQ,True,2.0,5.0,0,32,False,True,True,3,32,2,11,11,100,0.01,L1,0.01,1.02,0.14,,-0.0010498316498300001,,-inf,inf
GQ,True,1.0,20.0,100,27,False,True,True,3,27,2,13,13,100,0.1,L1,0.001,0.96,0.32,,-0.0008111111111110001,,-inf,inf
GQ,True,1.0,100.0,0,50,False,True,True,3,50,2,1,1,100,0.0001,L2,0.0001,1.04,0.5,,-0.00010202020202,,-inf,inf
GQ,True,2.0,10.0,1000,24,False,True,True,3,24,2,13,13,100,0.01,L2,0.0001,1.02,1.52,,-0.000918181818182,,-inf,inf
GQ,True,2.0,50.0,1000,75,True,False,True,24,75,2,37,37,100,0.01,L1,0.0001,1.58,0.53,0.9,-0.0029527777777800003,0.00310033670034,25.0,0.74
GQ,True,2.0,50.0,0,53,False,True,True,3,53,2,9,9,100,0.01,L1,0.0001,1.04,0.65,,-0.000272390572391,,-inf,inf
GQ,True,2.0,50.0,0,65,True,False,True,24,65,2,21,21,100,1.0,L1,0.0001,1.48,0.64,0.7,-0.00169633838384,0.0011228956229,6.0,0.62
GQ,True,1.0,5.0,1000,62,False,False,True,17,62,2,20,20,100,1.0,L2,0.001,1.38,0.32,0.3,-0.00149756387403,-0.0013328282828299993,99.0,0.3
GQ,True,0.0,20.0,1000,58,True,False,True,44,58,2,55,55,100,1.0,L1,0.1,2.19,0.13,2.02,-0.0013144168962399999,0.0052937373737400005,16.0,0.92
GQ,True,1.0,10.0,100,28,True,False,True,40,28,2,24,24,100,1.0,L1,0.0001,1.86,0.71,0.69,-0.000637803030303,-4.92929292929e-05,35.0,0.68
GQ,True,0.0,5.0,0,84,False,True,True,3,84,2,21,21,100,1.0,L2,0.01,0.98,0.22,,-0.0007060606060610001,,-inf,inf
GQ,True,2.0,10.0,1000,44,False,True,True,3,44,2,35,35,100,0.1,L1,0.001,1.02,0.26,,-0.00104006734007,,-inf,inf
GQ,True,2.0,100.0,1000,76,True,True,True,25,76,2,44,44,100,1.0,L1,0.01,1.68,0.21,0.92,-0.00182791919192,0.0033249158249200003,23.0,0.65
GQ,True,1.0,5.0,100,83,True,True,True,35,83,2,4,4,100,0.0001,L1,0.01,1.73,0.24,0.75,-0.00235991341991,0.00260227272727,43.0,0.6
GQ,True,1.0,10.0,1000,38,True,False,True,40,38,2,24,24,100,1.0,L2,0.0001,2.15,0.63,0.71,-0.0020325,-0.00038424242424199995,99.0,0.71
GQ,True,2.0,10.0,0,93,True,True,True,22,93,2,41,41,100,1.0,L1,0.01,1.67,0.11,1.89,-0.0008441689623510001,0.00595622895623,1.0,0.74
GQ,True,1.0,50.0,1000,59,False,True,True,3,59,2,3,3,100,0.01,L2,0.0001,1.05,0.79,,-0.00010976430976399999,,-inf,inf
GQ,True,0.0,50.0,1000,37,False,True,True,3,37,2,1,1,100,1.0,L1,0.01,1.04,0.34,,-0.00174208754209,,-inf,inf
GQ,True,2.0,10.0,100,54,False,True,True,3,54,2,42,42,100,0.1,L1,0.0001,1.14,0.62,,-0.000787878787879,,-inf,inf
GQ,True,1.0,20.0,0,69,False,True,True,3,69,2,38,38,100,0.0001,L1,0.001,1.01,0.25,,-0.00131245791246,,-inf,inf
GQ,True,2.0,10.0,100,54,True,True,True,22,54,2,51,51,100,1.0,L2,0.1,1.57,0.26,2.51,-0.00262033976125,0.0125585858586,27.0,1.06
GQ,True,2.0,50.0,100,68,True,True,True,25,68,2,57,57,100,0.1,L1,0.01,1.7,0.44,1.13,-0.00398129292929,0.008756565656569999,2.0,0.68
GQ,True,0.0,10.0,0,31,False,True,True,3,31,2,2,2,100,1.0,L1,0.01,1.02,0.33,,-0.00150404040404,,-inf,inf
GQ,True,1.0,20.0,1000,77,False,False,True,22,77,2,23,23,100,0.0001,L1,0.1,1.49,0.03,0.18,-0.00029600550964200005,-0.00117609427609,2.0,0.03
