source,binarize,gt,lt,vol,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
G,True,0,10.0,0,85,2,10,10,800,0.01,L2,0.0001,478.26,0.19,0.27,-9.70405619971e-06,-3.6493592843199996e-06,799.0,0.27
Q,True,0,10.0,0,10,2,1,1,20,0.0001,L2,0.0001,443.42,0.33,0.33,-0.00012519311204,-4.89980996318e-05,19.0,0.33
Q,True,0,10.0,0,10,2,1,1,20,0.0001,L2,0.001,453.37,0.33,0.33,-0.000233787273977,-0.00015725033554,19.0,0.33
Q,True,0,10.0,0,10,2,1,1,20,0.0001,L2,0.01,446.34,0.32,0.32,-3.86817764242e-05,-1.78790577785e-05,19.0,0.32
Q,True,0,10.0,0,10,2,1,1,20,0.0001,L2,0.1,445.79,0.33,0.32,-3.15597735911e-06,5.2331952937699995e-08,-inf,inf
Q,True,0,10.0,0,10,2,1,1,20,0.0001,L1,0.0001,435.76,0.33,0.33,-0.00017105362105100002,-6.83958101602e-05,19.0,0.33
Q,True,0,10.0,0,10,2,1,1,20,0.0001,L1,0.001,439.37,0.33,0.33,-0.00045723983800800003,-0.000349471755111,19.0,0.33
Q,True,0,10.0,0,10,2,1,1,20,0.0001,L1,0.01,472.92,0.32,0.32,-1.35982099784e-05,8.834864984040001e-07,13.0,0.32
Q,True,0,10.0,0,10,2,1,1,20,0.0001,L1,0.1,449.22,0.33,0.33,-3.869277056369999e-06,3.6139830977800005e-06,-inf,inf
Q,True,0,10.0,0,10,2,1,1,20,0.001,L2,0.0001,464.25,0.34,0.33,-0.00019737776607,-7.52656616193e-06,19.0,0.33
Q,True,0,10.0,0,10,2,1,1,20,0.001,L2,0.001,449.58,0.33,0.33,-5.35832315646e-06,2.43189663307e-06,17.0,0.33
Q,True,0,10.0,0,10,2,1,1,20,0.001,L2,0.01,481.07,0.33,0.33,-2.51174283918e-05,-1.94367029639e-05,19.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.0,L2,0.0001,265.29,0.2,0.28,-3.03653950147e-05,-1.40396702495e-05,499.0,0.28
G,True,0,10.0,0,86,2,1,1,500,0.0,L2,0.001,270.7,0.18,0.26,-8.42515311453e-06,4.9023046092e-06,234.0,0.26
Q,True,0,10.0,0,10,2,1,1,20,0.001,L2,0.1,466.83,0.34,0.33,-5.626800014810001e-07,5.55111512313e-17,18.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.0,L2,0.01,255.69,0.17,0.29,-1.80010815281e-05,2.90626707961e-05,105.0,0.27
Q,True,0,10.0,0,10,2,1,1,20,0.001,L1,0.0001,454.36,0.33,0.33,-0.000114664905259,-2.38212997204e-05,19.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.0,L2,0.1,266.22,0.17,0.29,-2.06771540639e-05,5.635817088730001e-06,16.0,0.26
G,True,0,10.0,0,86,2,1,1,500,0.0,L1,0.0001,260.78,0.2,0.28,-2.69622027939e-05,-8.38631809075e-06,499.0,0.28
Q,True,0,10.0,0,10,2,1,1,20,0.001,L1,0.001,446.99,0.33,0.33,-1.55595642627e-05,1.11022302463e-16,18.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.0,L1,0.001,251.35,0.19,0.27,-3.78309733018e-06,-6.87283658263e-07,499.0,0.27
G,True,0,10.0,0,86,2,1,1,500,0.0,L1,0.01,250.83,0.17,0.31,-1.62107364913e-05,4.44231645109e-05,71.0,0.26
Q,True,0,10.0,0,10,2,1,1,20,0.001,L1,0.01,444.64,0.33,0.34,-2.3637397484299998e-06,-3.26181983853e-05,19.0,0.34
G,True,0,10.0,0,86,2,1,1,500,0.0,L1,0.1,251.11,0.18,0.27,6.1189044756e-06,-2.47410730552e-05,111.0,0.26
G,True,0,10.0,0,86,2,1,1,500,0.0001,L2,0.0001,259.61,0.2,0.28,-3.04234843313e-05,-1.2230825287e-05,499.0,0.28
Q,True,0,10.0,0,10,2,1,1,20,0.001,L1,0.1,449.65,0.34,0.33,-6.22268231443e-07,5.55111512313e-17,18.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.0001,L2,0.001,262.07,0.19,0.27,-5.49479912204e-06,6.49275824371e-06,189.0,0.27
Q,True,0,10.0,0,10,2,1,1,20,0.01,L2,0.0001,458.53,0.33,0.33,-4.04217087617e-05,3.8446541371e-05,2.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.0001,L2,0.01,250.18,0.18,0.29,-2.35982587886e-05,6.43204591e-05,201.0,0.27
G,True,0,10.0,0,86,2,1,1,500,0.0001,L2,0.1,255.78,0.17,0.29,-3.9444456679e-06,6.63645472765e-06,42.0,0.26
Q,True,0,10.0,0,10,2,1,1,20,0.01,L2,0.001,459.75,0.33,0.33,-1.10273406631e-05,1.11022302463e-16,18.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.0001,L1,0.0001,248.1,0.2,0.27,-2.12272163374e-05,-6.2930406267099995e-06,499.0,0.27
G,True,0,10.0,0,86,2,1,1,500,0.0001,L1,0.001,252.0,0.19,0.27,-4.15052326877e-06,-1.5840772453799999e-06,499.0,0.27
Q,True,0,10.0,0,10,2,1,1,20,0.01,L2,0.01,473.45,0.33,0.34,-2.1662850235900003e-06,-5.55111512313e-17,19.0,0.34
G,True,0,10.0,0,86,2,1,1,500,0.0001,L1,0.01,263.95,0.17,0.3,-1.64904656688e-05,4.16243851339e-05,52.0,0.27
G,True,0,10.0,0,86,2,1,1,500,0.0001,L1,0.1,258.36,0.17,0.25,-1.22082015068e-05,-3.1061441064e-05,499.0,0.25
Q,True,0,10.0,0,10,2,1,1,20,0.01,L2,0.1,476.49,0.34,0.33,-5.95002768222e-07,5.55111512313e-17,18.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.001,L2,0.0001,262.53,0.2,0.27,-1.60012332357e-05,-1.2818819457e-06,499.0,0.27
G,True,0,10.0,0,86,2,1,1,500,0.001,L2,0.001,278.27,0.19,0.27,-3.32949170626e-06,-3.2587903081599997e-07,499.0,0.27
Q,True,0,10.0,0,10,2,1,1,20,0.01,L1,0.0001,471.82,0.33,0.33,2.95658766572e-05,8.93645053912e-05,8.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.001,L2,0.01,263.66,0.19,0.27,-1.7554033590599999e-07,3.62998724746e-07,-inf,inf
Q,True,0,10.0,0,10,2,1,1,20,0.01,L1,0.001,461.95,0.33,0.33,-1.20807990013e-05,1.11022302463e-16,18.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.001,L2,0.1,271.83,0.19,0.27,-2.02896635743e-07,1.206959373e-07,-inf,inf
G,True,0,10.0,0,86,2,1,1,500,0.001,L1,0.0001,280.61,0.21,0.28,-3.35740589849e-05,-1.38153579887e-05,499.0,0.28
Q,True,0,10.0,0,10,2,1,1,20,0.01,L1,0.01,504.85,0.33,0.34,-5.66418008496e-07,6.52363967707e-05,4.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.001,L1,0.001,280.62,0.19,0.27,-1.75295646238e-06,-8.38039715956e-08,499.0,0.27
G,True,0,10.0,0,86,2,10,10,800,0.01,L2,0.0001,833.92,0.69,0.69,4.05018154515e-06,4.56558722361e-06,198.0,0.69
G,True,0,10.0,0,86,2,1,1,500,0.001,L1,0.01,276.82,0.19,0.27,-3.56855346828e-07,4.77090544737e-07,192.0,0.27
Q,True,0,10.0,0,10,2,1,1,20,0.01,L1,0.1,482.23,0.34,0.33,-5.02871888852e-07,5.55111512313e-17,18.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.001,L1,0.1,262.85,0.19,0.27,-1.80629880026e-07,2.12925851728e-07,-inf,inf
G,True,0,10.0,0,86,2,1,1,500,0.01,L2,0.0001,274.04,0.21,0.28,-3.56066467489e-05,-1.58826744397e-05,499.0,0.28
Q,True,0,10.0,0,10,2,1,1,20,0.1,L2,0.0001,482.15,0.33,0.33,-4.66800120848e-05,-1.95885682391e-06,19.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.01,L2,0.001,266.16,0.19,0.27,-2.8967336382099998e-06,7.2098742937e-07,266.0,0.27
G,True,0,10.0,0,86,2,1,1,500,0.01,L2,0.01,265.62,0.19,0.27,-2.5839224235300003e-07,2.28639096378e-07,1.0,0.26
Q,True,0,10.0,0,10,2,1,1,20,0.1,L2,0.001,478.95,0.33,0.33,-8.55497882757e-06,1.11022302463e-16,18.0,0.33
G,True,0,10.0,0,86,2,1,1,500,0.01,L2,0.1,276.08,0.19,0.27,-2.25946398313e-07,1.03616323577e-07,2.0,0.27
Q,True,0,10.0,0,10,2,1,1,20,0.1,L2,0.01,504.59,0.33,0.34,-7.05383917443e-07,3.80545647829e-05,-inf,inf
G,True,0,10.0,0,86,2,1,1,500,0.01,L1,0.0001,285.23,0.21,0.28,-4.25105644745e-05,-2.22542812899e-05,499,0.28
