source,binarize,gt,lt,vol,Trainer.N.input_layer_size,Trainer.N.hidden_layer_size,Trainer.N.output_layer_size,Trainer.N.b1,Trainer.N.b2,Trainer.N.Lambda,train_alg,Trainer.iterations,Trainer.alpha,train_time,Trainer.J,Trainer.test_J,pos_precision,high_prob_pred_count
Q,True,2.0,20.0,100,9,18,1,1.0,1.0,150.0,GD,1000,0.1,343.62,'NaN','NaN',0.09,26
Q,True,2.0,20.0,100,10,20,1,1.0,1.0,150.0,GD,1000,0.1,377.26,'NaN','NaN',0.09,17
Q,True,2.0,20.0,100,10,10,1,1.0,1.0,150.0,GD,1000,0.1,212.24,'NaN','NaN',0.08,43
Q,True,2.0,20.0,100,10,10,1,1.0,1.0,0.1,GD,1000,0.01,211.06,'NaN','NaN',0.08,43
Q,True,2.0,10.0,100,10,10,1,1.0,1.0,0.1,GD,1000,0.01,165.15,'NaN','NaN',0.09,14
Q,True,2.0,10.0,100,10,10,1,1.0,1.0,0.1,GD,1000,0.01,163.31,0.981454585791,0.980923207252,0.09,32
Q,True,2.0,10.0,10000,10,10,1,1.0,1.0,0.1,GD,1000,0.01,125.42,0.581854858764,0.582359736298,0.0,0
Q,True,2.0,10.0,1000,10,10,1,1.0,1.0,0.1,GD,1000,0.01,155.47,0.955871330113,0.954511536057,0.09,32
Q,True,2.0,10.0,1000,10,10,1,1.0,1.0,0.1,GD,1000,0.01,150.15,0.862765589364,0.86419577884,0.09,16
Q,True,2.0,10.0,1000,10,10,1,1.0,1.0,10.0,GD,1000,0.01,148.2,56.723945047,56.7242597141,0.1,0
Q,True,2.0,10.0,1000,10,10,1,1.0,1.0,100.0,GD,1000,0.01,152.29,618.262421314,618.262270192,0.09,0
Q,True,2.0,10.0,1000,10,10,1,1.0,1.0,0.01,GD,1000,0.01,153.6,0.221258104669,0.220241662672,0.09,7
Q,True,0.0,20.0,0,10,10,1,1.0,1.0,0.01,GD,1000,0.01,270.86,0.469649346741,0.46790881602,0.1,58
Q,True,0.0,20.0,0,10,10,1,1.0,1.0,0.1,GD,1000,0.01,273.11,0.725289119473,0.725394965164,0.11,0
Q,True,0,50.0,0,10,10,1,1.0,1.0,0.1,GD,1000,0.01,317.87,0.961476743753,0.961692399746,0.09,65
