source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,1.0,100.0,100,44,True,True,275,44,2,37,37,100,0.001,L1,0.0001,4.41,0.59,0.71,-0.00109087953875,0.00144875877418,42.0,0.68
GQ,True,2.0,20.0,100,26,True,True,201,26,2,21,21,100,0.1,L1,0.1,3.18,0.72,0.69,9.66717695117e-07,7.305614282419998e-06,97.0,0.69
GQ,True,0.0,50.0,0,83,True,True,289,83,2,23,23,100,0.001,L1,0.1,4.15,0.14,2.0,-0.0012517125884,0.0014343597263,2.0,0.84
GQ,True,1.0,5.0,100,82,True,True,78,82,2,75,75,100,0.1,L2,0.01,0.81,0.18,1.05,0.0,0.0008302436125970001,1.0,0.71
GQ,True,1.0,5.0,100,4,True,True,78,4,2,1,1,100,0.001,L2,0.001,0.88,0.69,0.69,-3.63762440033e-05,-2.49554367193e-06,99.0,0.69
GQ,True,0.0,5.0,1000,38,True,True,96,38,2,19,19,100,0.001,L2,0.001,1.19,0.37,1.16,-0.00010552239488600001,0.005451178451180001,18.0,0.67
GQ,True,0.0,10.0,100,72,True,True,193,72,2,7,7,100,1.0,L1,0.0001,2.32,0.71,0.71,-0.00017466152813699998,-0.000123774328652,99.0,0.71
GQ,True,0.0,50.0,100,79,True,True,289,79,2,32,32,100,0.01,L1,0.1,4.89,0.72,0.69,-1.2401547732000001e-05,-1.13717823396e-05,99.0,0.69
GQ,True,0.0,50.0,100,4,True,True,289,4,2,2,2,100,0.0001,L1,0.001,3.66,0.46,0.74,-0.00113212599767,0.000467302052786,19.0,0.71
GQ,True,1.0,5.0,0,25,True,True,78,25,2,13,13,100,0.01,L2,0.001,1.01,0.24,0.85,-0.0034583825032499997,0.00216856803327,-inf,inf
GQ,True,1.0,50.0,100,22,True,True,271,22,2,6,6,100,0.0001,L1,0.01,4.5,0.13,2.7,-0.0012506763136700002,0.0120639150122,8.0,0.62
GQ,True,0.0,5.0,100,64,True,True,96,64,2,34,34,100,1.0,L1,0.0001,1.48,0.67,0.7,0.000271357350754,-4.2328042329e-06,99.0,0.7
GQ,True,0.0,5.0,100,84,True,True,96,84,2,6,6,100,0.0001,L2,0.1,1.31,0.61,0.95,3.7938349885e-06,0.00580971620972,2.0,0.77
GQ,True,1.0,100.0,100,52,True,True,275,52,2,12,12,100,0.001,L2,0.1,4.23,0.42,1.2,-6.30848004225e-05,0.005509861325120001,18.0,0.66
GQ,True,1.0,10.0,0,87,True,True,175,87,2,46,46,100,1.0,L1,0.1,3.35,0.67,0.7,-0.00110188720678,-1.20120120128e-06,30.0,0.69
GQ,True,0.0,100.0,1000,36,True,True,294,36,2,12,12,100,0.0001,L1,0.01,4.41,0.15,2.4,-0.0014535982543,0.0100244348244,1.0,0.67
GQ,True,2.0,100.0,100,33,True,True,257,33,2,22,22,100,0.0001,L2,0.1,3.57,0.35,1.93,-0.00433120885201,0.0199395959596,5.0,0.62
GQ,True,0.0,10.0,0,22,True,True,193,22,2,9,9,100,0.1,L1,0.001,2.62,0.59,0.68,-0.00041999578311500003,0.000148189209165,30.0,0.67
GQ,True,1.0,10.0,0,81,True,True,175,81,2,32,32,100,0.1,L1,0.1,2.96,0.72,0.69,4.37067877446e-07,7.45290745285e-06,97.0,0.69
GQ,True,0.0,5.0,1000,57,True,True,96,57,2,55,55,100,0.0001,L2,0.01,1.74,0.04,2.55,-0.000448039300886,0.006121693121689999,2.0,0.72
GQ,True,1.0,50.0,100,11,True,True,271,11,2,2,2,100,1.0,L2,0.1,4.03,0.72,0.7,-3.7271146776699997e-06,-2.66457680251e-05,95.0,0.69
GQ,True,2.0,10.0,100,31,True,True,156,31,2,23,23,100,0.001,L2,0.01,1.85,0.07,1.56,-0.00039764755533299996,0.00169982174688,-inf,inf
