source,binarize,gt,lt,vol,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,final_mean_training_loss,final_mean_validation_loss,best_epoch,best_mean_validation_loss
Q,True,0,50.0,0,10,2,1,1,20,0.0001,L2,0.0001,118.8,0.69,0.69,2,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.0001,L2,0.001,118.86,0.67,0.67,16,0.67
Q,True,0,50.0,0,10,2,1,1,20,0.0001,L2,0.01,116.85,0.65,0.66,1,0.66
Q,True,0,50.0,0,10,2,1,1,20,0.0001,L2,0.1,117.82,0.67,0.73,0,0.73
Q,True,0,50.0,0,10,2,1,1,20,0.0001,L2,1.0,118.62,0.87,0.97,15,0.97
Q,True,0,50.0,0,10,2,1,1,20,0.0001,L1,0.0001,115.56,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.0001,L1,0.001,116.43,0.67,0.67,14,0.67
Q,True,0,50.0,0,10,2,1,1,20,0.0001,L1,0.01,113.61,0.65,0.66,1,0.66
Q,True,0,50.0,0,10,2,1,1,20,0.0001,L1,0.1,114.26,0.67,0.73,0,0.73
Q,True,0,50.0,0,10,2,1,1,20,0.0001,L1,1.0,113.88,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,1,1,20,0.001,L2,0.0001,117.92,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.001,L2,0.001,118.47,0.68,0.68,9,0.68
Q,True,0,50.0,0,10,2,1,1,20,0.001,L2,0.01,118.2,0.66,0.66,3,0.66
Q,True,0,50.0,0,10,2,1,1,20,0.001,L2,0.1,118.91,0.68,0.72,0,0.72
Q,True,0,50.0,0,10,2,1,1,20,0.001,L2,1.0,117.19,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,1,1,20,0.001,L1,0.0001,114.28,0.69,0.69,1,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.001,L1,0.001,116.52,0.67,0.67,11,0.67
Q,True,0,50.0,0,10,2,1,1,20,0.001,L1,0.01,117.42,0.65,0.66,4,0.66
Q,True,0,50.0,0,10,2,1,1,20,0.001,L1,0.1,118.01,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,1,1,20,0.001,L1,1.0,118.26,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,1,1,20,0.01,L2,0.0001,121.22,0.69,0.69,4,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.01,L2,0.001,120.25,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,1,1,20,0.01,L2,0.01,120.21,0.69,0.7,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.01,L2,0.1,120.72,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,1,1,20,0.01,L2,1.0,120.91,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,1,1,20,0.01,L1,0.0001,117.87,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.01,L1,0.001,117.59,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.01,L1,0.01,117.33,0.69,0.69,1,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.01,L1,0.1,117.13,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,1,1,20,0.01,L1,1.0,117.49,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,1,1,20,0.1,L2,0.0001,121.13,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.1,L2,0.001,123.6,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,1,1,20,0.1,L2,0.01,119.83,0.69,0.7,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.1,L2,0.1,120.03,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,1,1,20,0.1,L2,1.0,120.74,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,1,1,20,0.1,L1,0.0001,117.75,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,0.1,L1,0.001,117.03,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,1,1,20,0.1,L1,0.01,112.57,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,1,1,20,0.1,L1,0.1,112.31,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,1,1,20,0.1,L1,1.0,113.66,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,1,1,20,1.0,L2,0.0001,116.81,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,1.0,L2,0.001,116.84,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,1,1,20,1.0,L2,0.01,117.21,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,1.0,L2,0.1,116.08,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,1,1,20,1.0,L2,1.0,122.04,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,1,1,20,1.0,L1,0.0001,120.26,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,1,1,20,1.0,L1,0.001,117.17,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,1,1,20,1.0,L1,0.01,119.38,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,1,1,20,1.0,L1,0.1,120.85,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,1,1,20,1.0,L1,1.0,121.48,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,2,2,20,0.0001,L2,0.0001,125.93,0.69,0.69,9,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.0001,L2,0.001,127.86,0.67,0.67,12,0.67
Q,True,0,50.0,0,10,2,2,2,20,0.0001,L2,0.01,127.5,0.65,0.66,2,0.66
Q,True,0,50.0,0,10,2,2,2,20,0.0001,L2,0.1,132.43,0.66,0.72,0,0.72
Q,True,0,50.0,0,10,2,2,2,20,0.0001,L2,1.0,122.87,0.87,1.0,18,1.0
Q,True,0,50.0,0,10,2,2,2,20,0.0001,L1,0.0001,118.58,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.0001,L1,0.001,119.04,0.67,0.67,14,0.67
Q,True,0,50.0,0,10,2,2,2,20,0.0001,L1,0.01,117.97,0.64,0.66,1,0.66
Q,True,0,50.0,0,10,2,2,2,20,0.0001,L1,0.1,118.31,0.66,0.72,0,0.72
Q,True,0,50.0,0,10,2,2,2,20,0.0001,L1,1.0,118.03,0.85,1.01,0,0.98
Q,True,0,50.0,0,10,2,2,2,20,0.001,L2,0.0001,122.47,0.68,0.68,18,0.68
Q,True,0,50.0,0,10,2,2,2,20,0.001,L2,0.001,120.71,0.67,0.67,16,0.67
Q,True,0,50.0,0,10,2,2,2,20,0.001,L2,0.01,121.65,0.66,0.66,4,0.66
Q,True,0,50.0,0,10,2,2,2,20,0.001,L2,0.1,121.73,0.68,0.72,0,0.72
Q,True,0,50.0,0,10,2,2,2,20,0.001,L2,1.0,122.74,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,2,2,20,0.001,L1,0.0001,117.91,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.001,L1,0.001,119.19,0.67,0.67,12,0.67
Q,True,0,50.0,0,10,2,2,2,20,0.001,L1,0.01,117.62,0.65,0.66,2,0.66
Q,True,0,50.0,0,10,2,2,2,20,0.001,L1,0.1,123.37,0.67,0.73,0,0.73
Q,True,0,50.0,0,10,2,2,2,20,0.001,L1,1.0,126.05,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,2,2,20,0.01,L2,0.0001,124.11,0.7,0.69,11,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.01,L2,0.001,121.32,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.01,L2,0.01,121.92,0.69,0.69,8,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.01,L2,0.1,125.29,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,2,2,20,0.01,L2,1.0,119.62,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,2,2,20,0.01,L1,0.0001,122.62,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.01,L1,0.001,118.24,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.01,L1,0.01,116.48,0.69,0.69,18,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.01,L1,0.1,119.76,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,2,2,20,0.01,L1,1.0,117.03,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,2,2,20,0.1,L2,0.0001,120.83,0.7,0.69,0,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.1,L2,0.001,124.37,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,2,2,20,0.1,L2,0.01,125.62,0.69,0.69,10,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.1,L2,0.1,123.04,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,2,2,20,0.1,L2,1.0,119.84,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,2,2,20,0.1,L1,0.0001,117.46,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,2,2,20,0.1,L1,0.001,117.39,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,2,2,20,0.1,L1,0.01,119.21,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,2,2,20,0.1,L1,0.1,117.29,0.71,0.73,0,0.73
Q,True,0,50.0,0,10,2,2,2,20,0.1,L1,1.0,117.01,0.87,0.97,0,0.97
Q,True,0,50.0,0,10,2,2,2,20,1.0,L2,0.0001,120.39,0.69,0.69,0,0.69
Q,True,0,50.0,0,10,2,2,2,20,1.0,L2,0.001,120.9,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,2,2,20,1.0,L2,0.01,126.93,0.69,0.7,0,0.7
Q,True,0,50.0,0,10,2,2,2,20,1.0,L2,0.1,122.85,0.71,0.73,0,0.73
