source,binarize,gt,lt,vol,k,balance_labeled_data,vectorize_label,num_of_training_examples,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
GQ,True,1.0,10.0,100,20,True,True,506,20,2,13,13,100,0.1,L2,0.01,13.13,0.6,0.88,-0.0036538168243699996,0.006899490316,3.0,0.7
GQ,True,1.0,5.0,100,2,True,True,246,2,2,1,1,100,0.1,L1,0.1,6.22,0.65,0.77,-0.00136196107416,0.00194362492853,15.0,0.7
GQ,True,0.0,5.0,1000,80,True,True,284,80,2,32,32,100,1.0,L2,0.001,8.66,0.68,0.7,-0.00054856665244,0.0005132969034609999,90.0,0.7
GQ,True,2.0,20.0,1000,84,True,True,632,84,2,70,70,100,1.0,L2,0.1,22.27,0.7,0.72,3.28266845673e-05,-0.000329671717172,54.0,0.71
GQ,True,2.0,50.0,100,53,True,True,862,53,2,47,47,100,0.001,L1,0.0001,28.85,0.43,0.87,-0.00215491340317,0.00294478296478,7.0,0.69
GQ,True,1.0,50.0,0,69,True,True,912,69,2,61,61,100,0.001,L1,0.01,33.63,0.09,1.95,-0.0008729388180050001,0.006569666048239999,1.0,0.7
GQ,True,0.0,5.0,100,88,True,True,284,88,2,76,76,100,0.01,L1,0.01,13.34,0.64,0.73,-0.00118145184237,0.0009594634873320001,49.0,0.7
GQ,True,2.0,20.0,0,78,True,True,632,78,2,73,73,100,0.0001,L2,0.1,24.14,0.79,4.05,-0.0010352528449,-0.0138057635175,4.0,0.86
GQ,True,0.0,50.0,100,39,True,True,950,39,2,14,14,100,0.0001,L1,0.1,24.93,0.14,2.97,-0.00139550877193,0.0101488562092,1.0,0.71
GQ,True,0.0,100.0,1000,56,True,True,998,56,2,16,16,100,1.0,L2,0.001,26.76,0.69,0.7,-0.00014842108459299998,0.000188931369772,85.0,0.7
GQ,True,1.0,50.0,0,3,True,True,912,3,2,1,1,100,0.01,L2,0.0001,23.13,0.61,0.71,-0.00105493864079,0.00103003504432,48.0,0.68
GQ,True,1.0,50.0,0,19,True,True,912,19,2,15,15,100,0.1,L2,0.1,27.35,0.7,0.71,-9.62331649832e-05,0.00030364873222,98.0,0.7
GQ,True,1.0,5.0,0,30,True,True,246,30,2,9,9,100,0.001,L1,0.0001,6.44,0.59,0.71,-0.00269609509731,0.000562511911569,29.0,0.7
GQ,True,0.0,20.0,0,4,True,True,721,4,2,2,2,100,0.0001,L2,0.1,18.65,0.21,1.85,-0.00212470054218,0.0124121080939,3.0,0.69
GQ,True,2.0,20.0,1000,27,True,True,632,27,2,24,24,100,0.0001,L1,0.01,16.51,0.06,2.02,-0.000656340301752,0.0064868092691599995,-inf,inf
GQ,True,1.0,100.0,100,81,True,True,960,81,2,19,19,100,0.01,L1,0.1,25.47,0.69,0.75,3.26073232315e-06,0.00027948906541100003,44.0,0.71
GQ,True,0.0,50.0,100,92,True,True,950,92,2,6,6,100,0.1,L1,0.1,24.98,0.69,0.72,-0.000532800637958,0.000399390968509,1.0,0.69
GQ,True,2.0,20.0,0,33,True,True,632,33,2,10,10,100,1.0,L2,0.001,16.15,0.67,0.74,1.65451988237e-05,1.53000594177e-05,14.0,0.69
GQ,True,1.0,10.0,0,90,True,True,506,90,2,43,43,100,0.1,L2,0.01,16.33,0.68,0.73,-1.53950572922e-05,3.85969789639e-05,21.0,0.7
GQ,True,1.0,5.0,0,94,True,True,246,94,2,57,57,100,0.001,L2,0.1,8.66,0.06,3.01,-0.000567693192083,0.0041721174004200005,3.0,0.9
GQ,True,1.0,100.0,100,90,True,True,960,90,2,67,67,100,0.0001,L2,0.001,35.21,0.09,1.55,-0.000868802609428,0.00467694419927,2.0,0.66
GQ,True,0.0,10.0,1000,35,True,True,544,35,2,18,18,100,0.01,L1,0.0001,14.95,0.36,0.85,-0.00314562165775,0.00237769144436,25.0,0.71
GQ,True,2.0,20.0,100,56,True,True,632,56,2,18,18,100,1.0,L2,0.1,18.15,0.66,0.78,-0.0008651387290630001,0.00176237373737,2.0,0.69
GQ,True,0.0,10.0,1000,18,True,True,544,18,2,7,7,20,0.1,L1,0.0001,2.45,0.69,0.7,6.2886996904e-05,-0.000309491677913,19.0,0.7
GQ,True,1.0,100.0,0,82,False,True,2649,82,2,54,54,20,0.001,L1,0.1,18.6,0.41,0.52,-0.00361760147821,0.0011464974054899999,6.0,0.48
GQ,True,0.0,100.0,1000,67,True,True,998,67,2,5,5,20,0.01,L2,0.001,4.68,0.58,0.74,-0.00456286256724,0.00473462862764,5.0,0.7
GQ,True,1.0,5.0,1000,69,True,True,246,69,2,42,42,20,0.001,L1,0.001,1.53,0.31,1.08,-0.012494330338000001,0.0213182720953,-inf,inf
GQ,True,1.0,50.0,100,5,False,True,2334,5,2,4,4,20,1.0,L1,0.01,9.84,0.51,0.49,-0.00101115094935,-9.789473684189999e-06,13.0,0.48
GQ,True,0.0,10.0,100,4,False,True,1218,4,2,1,1,20,0.0001,L2,0.0001,5.25,0.62,0.58,-0.0027915046236300003,-0.002437084089530001,19.0,0.58
GQ,True,1.0,10.0,0,42,True,True,506,42,2,16,16,20,0.1,L2,0.01,2.54,0.69,0.69,3.12565009362e-05,-0.00017962337035199995,19.0,0.69
GQ,True,0.0,10.0,100,22,False,True,1218,22,2,19,19,30,0.1,L1,0.001,8.7,0.59,0.51,0.0010495630674,0.000513409961686,19.0,0.51
GQ,True,2.0,5.0,1000,92,True,True,196,92,2,23,23,30,0.001,L1,0.0001,1.65,0.65,0.7,-0.00452228477598,-0.000564313081554,29.0,0.7
GQ,True,2.0,5.0,1000,81,False,True,403,81,2,24,24,30,0.01,L1,0.0001,3.22,0.53,0.79,-0.00465927954137,0.00190064737746,1.0,0.74
GQ,True,1.0,10.0,1000,71,True,True,506,71,2,15,15,30,0.001,L2,0.1,3.96,0.31,1.54,-0.008722093498709999,0.0260143414531,11.0,1.04
GQ,True,0.0,50.0,0,26,True,True,950,26,2,20,20,30,0.1,L1,0.01,6.91,0.67,0.73,0.000615607985481,-0.000629310344827,3.0,0.7
GQ,True,1.0,10.0,1000,8,False,True,1116,8,2,1,1,30,1.0,L1,0.1,7.53,0.5,0.54,-0.00161883574342,0.000155340739672,25.0,0.54
GQ,True,0.0,5.0,100,25,False,True,636,25,2,3,3,30,1.0,L1,0.01,4.38,0.48,0.55,-0.00310162293067,0.00114756592292,22.0,0.54
GQ,True,2.0,100.0,100,15,True,True,910,15,2,4,4,30,0.0001,L2,0.01,6.02,0.63,0.73,-0.000688366805608,0.00191134689066,3.0,0.68
